epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,12910.1,0.88087,0.72964,1.12462,0.87359,0.44205,0.66447,0.47538,0.95807,0.76836,1.14841,0.00505,0.00505,0.00505
77,13082.2,0.89195,0.72831,1.12477,0.89284,0.42759,0.66287,0.48447,0.95304,0.75735,1.14632,0.004984,0.004984,0.004984
78,13238.4,0.88928,0.73004,1.12788,0.90406,0.4277,0.663,0.48478,0.95196,0.75237,1.14886,0.004918,0.004918,0.004918
79,13401.6,0.87857,0.71768,1.11886,0.90613,0.41334,0.66038,0.48276,0.94717,0.75096,1.14437,0.004852,0.004852,0.004852
80,13573.1,0.88786,0.72322,1.12549,0.89136,0.43157,0.66379,0.48498,0.95493,0.75396,1.14863,0.004786,0.004786,0.004786
81,13731.5,0.88212,0.71573,1.12313,0.89219,0.44138,0.67307,0.49127,0.95206,0.75218,1.14853,0.00472,0.00472,0.00472
82,13892.9,0.88339,0.71752,1.12292,0.89821,0.42253,0.6643,0.47885,0.95011,0.74261,1.14606,0.004654,0.004654,0.004654
83,14071.1,0.86906,0.70618,1.11854,0.90731,0.4269,0.66799,0.4844,0.95249,0.75379,1.14559,0.004588,0.004588,0.004588
84,14244.8,0.87105,0.70662,1.11523,0.89584,0.41817,0.65964,0.48153,0.95235,0.74764,1.14962,0.004522,0.004522,0.004522
85,14388.9,0.87561,0.70605,1.11799,0.89356,0.42263,0.65939,0.48602,0.95258,0.74666,1.14585,0.004456,0.004456,0.004456
86,14563.3,0.87166,0.70424,1.11672,0.89892,0.41182,0.65536,0.47737,0.95052,0.74432,1.1481,0.00439,0.00439,0.00439
87,14724.1,0.86849,0.69988,1.11289,0.89782,0.41736,0.65991,0.48395,0.94834,0.73952,1.14739,0.004324,0.004324,0.004324
88,14890.4,0.87265,0.69838,1.1129,0.86591,0.43216,0.65324,0.47681,0.94789,0.74222,1.14388,0.004258,0.004258,0.004258
89,15065,0.85829,0.68542,1.10903,0.87577,0.42937,0.65642,0.48412,0.94803,0.74489,1.14473,0.004192,0.004192,0.004192
90,15232.8,0.86033,0.68468,1.1069,0.88459,0.42908,0.66125,0.48528,0.94624,0.73147,1.14167,0.004126,0.004126,0.004126
91,15404,0.85439,0.68549,1.10937,0.89847,0.4489,0.67555,0.49438,0.94692,0.735,1.14149,0.00406,0.00406,0.00406
92,15566,0.85623,0.68294,1.10769,0.89243,0.43595,0.66549,0.48497,0.94169,0.73223,1.14168,0.003994,0.003994,0.003994
93,15736.7,0.85281,0.68167,1.10544,0.89507,0.44899,0.67366,0.49167,0.94587,0.73732,1.14567,0.003928,0.003928,0.003928
94,15899.4,0.8478,0.67335,1.09981,0.90221,0.44873,0.67612,0.49663,0.94448,0.73413,1.14486,0.003862,0.003862,0.003862
95,16055.7,0.84303,0.67129,1.10282,0.89867,0.44663,0.67478,0.49226,0.94404,0.73422,1.14271,0.003796,0.003796,0.003796
96,16218.9,0.8428,0.66655,1.09958,0.89391,0.45458,0.67498,0.49304,0.94618,0.73172,1.1469,0.00373,0.00373,0.00373
97,16390.3,0.84178,0.66819,1.09993,0.90411,0.44373,0.67564,0.49508,0.94195,0.72973,1.14402,0.003664,0.003664,0.003664
98,16552.6,0.83772,0.66643,1.0984,0.90897,0.45307,0.68311,0.4979,0.94282,0.7289,1.14279,0.003598,0.003598,0.003598
99,16725.6,0.8284,0.64889,1.09143,0.91436,0.45005,0.68229,0.49838,0.94189,0.72841,1.1404,0.003532,0.003532,0.003532
100,16894.8,0.834,0.65777,1.09416,0.89476,0.45955,0.67936,0.49352,0.94309,0.73011,1.14079,0.003466,0.003466,0.003466
101,17057,0.83231,0.65375,1.09107,0.90332,0.45466,0.67869,0.4934,0.94618,0.73172,1.14297,0.0034,0.0034,0.0034
102,17221.3,0.8342,0.65146,1.09401,0.90188,0.45873,0.68144,0.49741,0.94014,0.73079,1.13659,0.003334,0.003334,0.003334
103,17384.2,0.82079,0.64966,1.08481,0.90043,0.46023,0.68051,0.49696,0.94194,0.73079,1.13922,0.003268,0.003268,0.003268
104,17556.1,0.82715,0.64708,1.08546,0.89201,0.46704,0.6822,0.49748,0.94339,0.72881,1.13916,0.003202,0.003202,0.003202
105,17729.7,0.82796,0.64544,1.09132,0.89376,0.46144,0.68144,0.49404,0.94544,0.72622,1.14,0.003136,0.003136,0.003136
106,17895.3,0.82809,0.64087,1.08644,0.89689,0.45645,0.67984,0.49466,0.94491,0.72317,1.13729,0.00307,0.00307,0.00307
107,18054.9,0.82576,0.64169,1.08953,0.90416,0.45354,0.68161,0.4974,0.9398,0.72249,1.13509,0.003004,0.003004,0.003004
108,18220.9,0.82549,0.6331,1.08483,0.89715,0.46608,0.68503,0.49748,0.93835,0.72277,1.13178,0.002938,0.002938,0.002938
109,18391.2,0.81746,0.62706,1.07989,0.88929,0.47009,0.68389,0.497,0.93936,0.723,1.1321,0.002872,0.002872,0.002872
110,18557.7,0.80919,0.62139,1.07744,0.88272,0.45777,0.67505,0.49344,0.93992,0.72082,1.13527,0.002806,0.002806,0.002806
111,18719.8,0.81262,0.62463,1.07974,0.8912,0.45865,0.67853,0.49688,0.94122,0.72258,1.13549,0.00274,0.00274,0.00274
112,18889.7,0.81123,0.62453,1.0797,0.88589,0.46315,0.6794,0.49658,0.9417,0.72449,1.13602,0.002674,0.002674,0.002674
113,19055.8,0.80299,0.61701,1.07348,0.89051,0.46445,0.68031,0.49895,0.93989,0.72528,1.13382,0.002608,0.002608,0.002608
114,19225.1,0.80894,0.62197,1.07537,0.88908,0.46368,0.68036,0.49822,0.94015,0.72613,1.13477,0.002542,0.002542,0.002542
115,19391.3,0.80671,0.6173,1.07374,0.88562,0.46696,0.68068,0.4984,0.93852,0.72332,1.134,0.002476,0.002476,0.002476
116,19562.3,0.80441,0.61208,1.07211,0.89425,0.47161,0.68663,0.50161,0.94106,0.72103,1.13613,0.00241,0.00241,0.00241
117,19728.4,0.80543,0.61103,1.07269,0.88709,0.47017,0.68343,0.49897,0.9423,0.71945,1.13704,0.002344,0.002344,0.002344
118,19876.5,0.79734,0.6139,1.07372,0.89358,0.47013,0.68639,0.50086,0.94002,0.71968,1.13546,0.002278,0.002278,0.002278
119,20050.9,0.79901,0.60459,1.07104,0.89952,0.46795,0.68733,0.50056,0.93891,0.72035,1.13469,0.002212,0.002212,0.002212
120,20218.8,0.80001,0.60431,1.06805,0.89372,0.46918,0.6853,0.49827,0.94179,0.71967,1.13725,0.002146,0.002146,0.002146
121,20377.2,0.79869,0.60625,1.06457,0.88725,0.47343,0.6844,0.49735,0.943,0.71943,1.13734,0.00208,0.00208,0.00208
122,20546.6,0.78594,0.59937,1.06124,0.88689,0.46902,0.68141,0.49433,0.94203,0.7204,1.13707,0.002014,0.002014,0.002014
123,20717.3,0.78766,0.59336,1.06517,0.89087,0.47097,0.68397,0.4973,0.94141,0.71949,1.13588,0.001948,0.001948,0.001948
124,20883.1,0.78486,0.58794,1.05911,0.89152,0.47448,0.68596,0.49852,0.94255,0.72143,1.13674,0.001882,0.001882,0.001882
125,21040,0.79086,0.59108,1.06072,0.89189,0.47734,0.68722,0.49925,0.94311,0.72704,1.13703,0.001816,0.001816,0.001816
126,21205.1,0.77946,0.58653,1.05972,0.89208,0.47791,0.68805,0.50147,0.94508,0.72497,1.13941,0.00175,0.00175,0.00175
127,21383.2,0.78632,0.59002,1.05993,0.89139,0.47605,0.68749,0.50035,0.94643,0.72689,1.14064,0.001684,0.001684,0.001684
128,21550.2,0.77237,0.57857,1.05656,0.89424,0.47781,0.68976,0.50123,0.94615,0.72615,1.14116,0.001618,0.001618,0.001618
129,21711.7,0.77728,0.5786,1.05488,0.88744,0.47224,0.68501,0.49815,0.94544,0.72433,1.14041,0.001552,0.001552,0.001552
130,21877.7,0.78557,0.58202,1.05424,0.88307,0.47281,0.68436,0.49862,0.94486,0.72339,1.14067,0.001486,0.001486,0.001486
131,22048.2,0.77335,0.57659,1.05622,0.88457,0.47387,0.6854,0.49859,0.94494,0.72249,1.14133,0.00142,0.00142,0.00142
132,22221,0.7743,0.5709,1.05134,0.88364,0.47263,0.68451,0.49812,0.94509,0.72288,1.14104,0.001354,0.001354,0.001354
133,22373.5,0.77326,0.57604,1.05219,0.88939,0.47246,0.6865,0.49906,0.94526,0.72323,1.14129,0.001288,0.001288,0.001288
134,22536.6,0.76933,0.57069,1.05317,0.88488,0.47447,0.68602,0.49813,0.94579,0.7236,1.14099,0.001222,0.001222,0.001222
135,22712.9,0.76544,0.56994,1.05013,0.88657,0.47633,0.68783,0.49938,0.94661,0.72493,1.14193,0.001156,0.001156,0.001156
136,22877.4,0.76013,0.56256,1.04896,0.89056,0.47668,0.68882,0.50142,0.94764,0.72473,1.14252,0.00109,0.00109,0.00109
137,23049.2,0.75851,0.5577,1.04482,0.89317,0.47583,0.68917,0.50226,0.94846,0.72415,1.14288,0.001024,0.001024,0.001024
138,23213.7,0.74987,0.55414,1.03997,0.89653,0.47531,0.6901,0.50378,0.94856,0.7244,1.14269,0.000958,0.000958,0.000958
139,23381.6,0.75572,0.55894,1.04264,0.88777,0.47653,0.68776,0.5019,0.94799,0.72465,1.14169,0.000892,0.000892,0.000892
